Operation,Parameters,Query,ObjectType,NonPIIParameters,UserServicePlan,UserType,ObjectId,SecurityComplianceCenterEventType,ResultStatus,SharepointLocations,Case,OrganizationId,ClientApplication,PublicFolderLocations,UserKey,UserId,CreationTime,CmdletVersion,Version,RecordType,ExtendedProperties,Workload,ExchangeLocations,Id,StartTime,EffectiveOrganization
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:02,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:05,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:05,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:10,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:10,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:15,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:15,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:52,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:52,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:54,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:54,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:59,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:59,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:27:05,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:27:05,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:27:15,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:27:15,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:52,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:52,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:52,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:52,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:53,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:53,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:53,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:53,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:56,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:28:56,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:29:01,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:29:01,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:03,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:03,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:04,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:04,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:04,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:04,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:05,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
