Operation,Parameters,Query,ObjectType,NonPIIParameters,UserServicePlan,UserType,ObjectId,SecurityComplianceCenterEventType,ResultStatus,SharepointLocations,Case,OrganizationId,ClientApplication,PublicFolderLocations,UserKey,UserId,CreationTime,CmdletVersion,Version,RecordType,ExtendedProperties,Workload,ExchangeLocations,Id,StartTime,EffectiveOrganization
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:40:09,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:40:11,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:40:11,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:40:17,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:40:17,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:10,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:10,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:11,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:11,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:11,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:11,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:12,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:12,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:14,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:14,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:19,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:19,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:24,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:24,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:26,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:26,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:31,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:52:31,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:53:56,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:53:56,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:53:57,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:53:57,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:53:57,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:53:57,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:53:57,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:53:57,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:00,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:00,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:05,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:05,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:08,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:08,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:11,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:11,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:16,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:54:16,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
