Operation,UserKey,UserId,CreationTime,Version,RecordType,Workload,UserType,ObjectId,Id,OrganizationId
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:17:38,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:17:38,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:18:12,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:18:12,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:18:46,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:18:46,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:19:20,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:19:20,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:19:38,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:19:38,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:20:05,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:20:05,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:20:22,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:20:22,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:20:45,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:20:45,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:21:19,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:21:19,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:21:47,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:21:47,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:22:11,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:22:11,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:23:02,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:23:02,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:23:30,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:23:30,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:23:48,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:23:48,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:24:17,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:24:17,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:24:37,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:24:37,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:25:13,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:25:13,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:25:31,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:25:31,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:25:50,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:25:50,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:26:18,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:26:18,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:26:39,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:26:39,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:27:15,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:27:15,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:27:54,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:27:54,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:28:14,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:28:14,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:28:26,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:28:26,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:28:39,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:28:39,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:28:57,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:28:57,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:29:17,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:29:17,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:29:40,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:29:40,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:30:13,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
